"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="961391081509368","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：蓝黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="961357009031883","方向盘套真皮大众途观速腾朗逸凯越帕萨特宝来羊皮 专用汽车把套","95.00","1","1500000215","颜色分类：黑色","","","卖家已发货，等待买家确认","1500000215"
="959955509656071","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：红黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="960766614150253","方向盘套真皮大众途观速腾朗逸凯越帕萨特宝来羊皮 专用汽车把套","95.00","1","1500000215","颜色分类：米色","","","卖家已发货，等待买家确认","1500000215"
="1077527152783118","方向盘套真皮大众途观速腾朗逸凯越帕萨特宝来羊皮 专用汽车把套","95.00","1","1500000215","颜色分类：米色","","","卖家已发货，等待买家确认","1500000215"
="960525727792754","方向盘套真皮大众途观速腾朗逸凯越帕萨特宝来羊皮 专用汽车把套","95.00","1","1500000215","颜色分类：米色","","","卖家已发货，等待买家确认","1500000215"
="1078763378676340","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：黑皮側孔黑线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="1076679635315440","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：黑皮側孔黑线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="959849258980568","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：红黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="1078015935873514","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：红黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="1075168270629011","方向盘套真皮大众途观速腾朗逸凯越帕萨特宝来羊皮 专用汽车把套","95.00","1","1500000215","颜色分类：黑色","","我车子是14款帕萨特尊荣版，要黑色的套子","卖家已发货，等待买家确认","1500000215"
="1076203860906649","方向盘套真皮大众途观速腾朗逸凯越帕萨特宝来羊皮 专用汽车把套","95.00","1","1500000215","颜色分类：黑色","","","卖家已发货，等待买家确认","1500000215"
="957568706738596","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：黑皮側孔黑线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="1077139218098934","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：红黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="1074287957318511","方向盘套真皮大众途观速腾朗逸凯越帕萨特宝来羊皮 专用汽车把套","95.00","1","1500000215","颜色分类：浅灰色","","","卖家已发货，等待买家确认","1500000215"
="1077279606662615","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：蓝黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="1077253207172917","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：蓝黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="956645417584898","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：红黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
="1075352575870040","大众专用途观朗逸CC速腾捷达宝来迈腾帕萨特桑塔纳 真皮方向盘套","95.00","1","1500000213","颜色分类：蓝黑皮侧孔月白线(牛皮)","","","卖家已发货，等待买家确认","1500000213"
